,Unnamed: 0,Unnamed: 0.1,review,id,product
0,0,9900,"horror for ten year olds: Half a dozen women go down to explore an unexplored cave--without weapons to defend themselves with(should danger arise--and arise it does.) Right there the filmmaker lost all credibility with me, and not only that, you could hardly see/make out what the hell was going on with anyone; they made the cave that damn dark.I paid more than seventeen bucks for the DVD, tried to return it, unsuccessfully (Target won't accept returns, unless it is for the exact same thing) so ended up giving it to a friend. I don't keep DVDs I have no respect for in my collection.This was not well written, either, and don't believe this film director gets the horror genre at all.I suppose I'll be waiting for the next Alex Aja flick. Now here's someone who UNDERSTANDS what horror is about.",9900,product 1
1,1,9901,LOUSY: This movie was about an inch of me gonging it. It was like I was in the cave watching it. I plan to sell it to Blockbuster because it is not worthy to be in my collection.The best part was the end.,9901,product 5
2,2,9902,"Dumb and Dumber and Dumber and: Six macho bisexual chicks go caving and find blind creepy underground things.Hey girls, don't be so cheap and rent a guide who has done that cave before...duhhh.It's hard to feel sorry for dumb and dumber and dumber and....",9902,product 2
3,3,9903,"FAIR: THE MOVIE FOR ME STARTED WHEN THEY GOT LOST IN THE CAVE. I KNOW THEY WERE TRYING TO GET YOU TO KNOW THE CHARCTERS IN THE BEGINNING. THE DIALOGUE COULD HAVE BEEN BETTER. I DID KNOW ONE OF THE WOMEN WAS HAVING AN AFFAIR WITH ONE OF HER FRIENDS HUSBAND. I DON'T THINK THE CHARCTERS WERE STRONG ENOUGH. MAYBE THEY NEEDED STRONGER ACTRESSES LIKE SIGOURNY WEAVER, LINDA HAMILTON EVEN ANGELA BASSET. BUT THE MOVIE HAD IT'S MOMENTS. IT'S GOOD TO WATCH, AND IT'S GOOD TO PUT ON WHEN YOU HAVE MOVIE NIGHT WITH FRIENDS. :-)",9903,product 2
4,4,9904,descent into stupidity: I just watched this for a second time after about a year. I gave it 2 stars because of its science fiction merits but would have given it one star otherwise. A group of women descend into a cavern and can't get back out due to multiple stupid mistakes and underground monsters. The main mistake was the way they handled their battery problem for their lanterns which had limited use becaue of low battery life. Instead of alternating use (having one latern lit in the lead and the others following the first person they either used glow lights or had them all on. Many other flaws and mistakes led to their demise leaving me unsympathetic to their plight. In addition the ending was confusing. Interesting to watch regardless.,9904,product 5
5,5,9905,"SLOWWWWWWWWWWWWWW!!!!: I thought this movie was one of those horror movies that took forever to get to the point!!!It reminded me of Wolf Creek which I barely watched. These movies make you want something to happen so bad that u almost turn the movie off. Finally when it did get to the good parts they were pretty good. I wish the story line could have figured out a different way to find these creatures instead of showing flashbacks of people cheating with other women's husbands before he died and Blah Blah Blah Blah Blah. Different storyline, same characters. Might have then been awesome!",9905,product 4
6,6,9906,"Disappointing hollywood formula ending: Buyer beware. This is a version with a feel good hollywood formula ending. It is not the original, it was redone to give the US viewers a somewhat happy and typical USA horror ending / resolution, (pretty symbolic of our countries state I would say). Get the European version. I bought this thing w/o realizing they redid it, now I am buying the original---",9906,product 4
7,7,9907,"Don't waste your time...: What a major disappointment this movie was. It's just a bunch of horrifying images with little to no character developement. Was I supposed to care about these women or just watch them all die and hope I find the death scenes enjoyable? And exactly how many centuries would it take for humans to become bat like is beyond me, but I don't think it would have happened just yet. And how strong are these things? They can take down large game and wolves but a 110 pound woman can take out 4 of them at the same time? Whatever. The deleted scenes are horrible and deserved to be deleted, maybe they should have deleted the whole movie. I gave it 2 stars just because the movie was somewhat watchable until the end. What the hell was that anyway? If it would have ended with the dream getaway I would have said it was a bad movie, but the actual ending made me dislike it even more. I say you should waste less of your time and get the Cave instead. I even liked Dog Soliders, what happened?",9907,product 4
8,8,9908,"I never get scared, BUT!!!: I thought that The Ring was funny when that girl came out of the TV. I still get a kick out of how ""not scary"" that was. The Grudge made me cackle with joy when the hairy ghost girl emerged, how funny! Nothing seem to scare me in theatre anymore, except for this movie. I didnt really know what it was about when I saw it, and I atually got goose bumps. It combines good acting with many types of horror. The horror of being trapped in a cave system and then finding out you are not alone in there! There are times when you feel your heart pace quicken because of the tight situations. Basically, just watch it and dont watch it alone! Make sure its dark and enjoy!",9908,product 3
9,9,9909,"good movie: I'm not much for words when it comes to writing reviews, but I thought this was a good movie if you like scarey movies.",9909,product 2
